,date_ordinal,open,close,volume,low,high
505,735970,118.6182,117.873,7025760,117.4915,119.7893
506,735971,118.1569,116.7818,4762706,116.5067,118.7212
507,735974,116.9414,118.2013,4974436,116.8971,118.7247
508,735975,118.5739,117.9085,5078678,116.3382,118.6892
509,735976,118.4408,116.3736,4700115,116.3115,119.1327
510,735977,117.0479,117.9174,5709615,116.418,118.6981
511,735978,115.3445,115.3622,9008460,114.3331,116.1164
512,735982,115.4332,113.6588,9979587,113.6145,117.1987
513,735983,105.0974,108.1138,16157796,104.6893,110.0036
514,735984,107.617,109.0454,8851641,106.9739,110.9884
515,735985,110.6069,108.6816,9238362,108.034,110.669
516,735988,108.3268,108.309,5445956,107.9186,110.2165
517,735989,108.4598,108.7615,4617777,108.451,109.6664
518,735990,108.8857,107.3154,5026367,107.0403,109.4535
519,735991,107.5815,108.4332,3942537,107.3597,108.9744
520,735992,109.3737,110.7133,8248087,109.0897,110.7133
521,735995,110.3673,110.7488,3574884,109.7552,111.1569
522,735996,109.7197,109.072,3287318,108.8058,110.1366
523,735997,110.0036,110.6512,6223534,108.4953,111.2988
524,735998,110.9706,113.2507,5266450,110.8996,114.0048
525,735999,112.8692,114.0669,7177706,111.6538,114.129
526,736002,112.9287,113.807,7364043,111.2526,114.282
527,736003,113.0362,111.1989,5957204,110.93,113.7622
528,736004,112.0324,107.7214,6469133,107.4077,112.2923
529,736005,106.4577,105.6241,7307632,104.7736,107.2464
530,736006,106.8879,108.4832,4936514,106.0723,108.4922
531,736010,109.1913,110.0068,4061382,108.7521,110.3205
532,736011,110.8762,113.0183,4820982,110.4639,113.4395
533,736012,116.5137,118.7095,9951644,116.2896,120.0987
534,736013,118.6289,119.2742,5125276,117.2665,119.785
535,736016,119.9553,119.8926,4457444,118.6737,120.3766
536,736017,119.3279,118.6647,3439731,118.3152,119.5699
537,736018,117.9029,119.0232,4122624,116.2269,119.6416
538,736019,119.4624,120.5469,4358305,117.3024,120.5558
539,736020,120.5558,118.3331,4386249,118.2614,120.9233
540,736023,118.3062,117.4368,4427994,117.3203,119.5251
541,736024,118.5213,120.4303,3788514,118.3331,120.6723
542,736025,119.8298,122.1601,5217230,119.3996,123.1819
543,736026,122.9847,123.5045,5156429,121.954,123.6481
544,736027,123.267,123.5045,3968423,122.8054,124.9564
545,736030,123.0385,125.6107,5170975,122.6726,125.9334
546,736031,125.2164,124.6428,5579131,123.1639,125.79
547,736032,124.8579,125.8437,4406481,124.7862,127.4212
548,736033,126.5876,125.6466,4020554,123.7644,126.7938
549,736034,127.0268,127.5915,4421948,125.9334,128.0966
550,736037,127.2778,127.9679,4048862,126.4084,128.3353
